,name,RMSE,R2_score
3,StackingRegressor,566.9956072938327,0.9894868707232981
0,Pipeline,567.5322811352089,0.9895077583997547
1,Pipeline,567.5322811352089,0.9895077583997547
4,VotingRegressor,570.7567331905074,0.989350189526669
2,Ridge,575.8762000423968,0.989140195156296
5,BaggingRegressor,579.241361682169,0.9890409121064314
